Groundhog,Accuracy
Staten Island Chuck,85
Lander Lil,80
General Beauregard Lee,75
Concord Charlie,70
Gertie the Groundhog,65
Jimmy the Groundhog,65
Woodstock Willie,60
Buckeye Chuck,60
French Creek Freddie,60
Octoraro Orphie,57.89
Malverne Mel,55
Dunkirk Dave,55
Poor Richard,50
Uni the Groundhog,47.37
Holtsville Hal,45
Schnogadahl Sammi,38.89
Punxsutawney Phil,35
Woody the Woodchuck,35
Mojave Max,20
